ward,type,location,year,est_cost,id,school_park_name,query,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
47,Miscellaneous-CDOT,1733 W. Irving Park,2008,12867,40499,1733 W. Irving Park,census,"c(-87.6727074459999, 41.9542353750001)",47043,43,1534350.559,7443.8764543,47
36,Sidewalk Menu,2316 N OAK PARKAVE,2022,1720.038,32254,2316 N OAK PARK,census,"c(-87.7951865269999, 41.9216753470001)",36003,3,2449960.23701,6967.29645705,36
32,Chicago Park District,3550 N Lincoln Park Construction,2005,200000,27828,3550 N Lincoln Park,census,"c(-87.672937126, 41.94579436)",47047,47,1926123.16203,6957.19977432,47
45,Miscellaneous Other,4200 W Irving Park (under the UPNW,2013,12658,39292,4200 W Irving Park,census,"c(-87.7325324989999, 41.9536035250001)",45005,5,3093744.56272,10457.8864833,45
4,POD Camera,4258 S. Lake Park,2010,13000,3379,4258 S. Lake Park,census,"c(-87.599470047, 41.817745905)",04007,7,4339309.28207,11518.8620073,4
4,Miscellaneous CDOT Projects,4859 S CHICAGO BEACH DR,2022,660,3816,4859 S CHICAGO BEACH DR,census,"c(-87.586137843, 41.8067701530001)",04031,31,1938343.72932,6147.83190594,4
4,POD Camera,5158 S. Lake Park,2010,20000,3377,5158 S. Lake Park,census,"c(-87.5876236239999, 41.8016305800001)",04027,27,2669670.38843,7041.2270372,4
29,Miscellaneous CDOT Projects,5700 W MIDWAY PARK,2018,2350,25328,5700 W MIDWAY PARK,census,"c(-87.768413346, 41.8890634380001)",29033,33,1781014.12294,5549.81852551,29
4,Street Resurfacing Menu,800 S PARK TER,2022,27009.49,3831,800 S PARK,census,"c(-87.629600387, 41.8716840590001)",04020,20,571806.935785,3691.13486717,4
32,Chicago Park District,Adams Playground Renovations,2005,70000,27827,Adams Playground Renovations,google,"c(-87.6984339, 41.8783159)",27014,14,2217230.22323,5989.45991555,27
43,Miscellaneous-CDOT,"Armitage-Larrabee Park (2009 , 2008 Menu)",2010,8770.5,37418,"Armitage-Larrabee Park (2009 , 2008 Menu)",google,"c(-87.6435084, 41.9183303)",43009,9,1309071.49652,5937.14243066,43
43,Miscellaneous-CDOT,Armitage-Larrabee Park,2008,251,37281,Armitage-Larrabee Park,google,"c(-87.6435084, 41.9183303)",43009,9,1309071.49652,5937.14243066,43
43,Miscellaneous-CDOT,Armitage-Larrabee Park,2009,243,37368,Armitage-Larrabee Park,google,"c(-87.6435084, 41.9183303)",43009,9,1309071.49652,5937.14243066,43
43,Miscellaneous-CDOT,"Armitage-Larrabee Park (2009 , 2008 Menu)",2010,8770.5,37418,Armitage-Larrabee Park,google,"c(-87.6435084, 41.9183303)",43009,9,1309071.49652,5937.14243066,43
10,Schools,Arnold Mireless School - mural,2010,10000,7939,Arnold Mireless School,google,"c(-87.5529522, 41.7310266)",10034,34,3327051.33726,11098.9432663,10
35,Chicago Park District,Athletic Field Park,2008,50000,30664,Athletic Field Park,google,"c(-87.7170178, 41.9474204)",35004,4,5966071.43382,11913.5816947,35
47,Schools,Bell Elementary School - 3830 N. Oakley,2009,30000,40612,Bell Elementary School,google,"c(-87.6862446, 41.9495261)",47046,46,6258625.78136,11540.9920859,47
