ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate,year,weighted_cost
23022,22,3470666.11696,9680.91878502,23,2017,44200.94
23022,22,3470666.11696,9680.91878502,23,2018,31950.94
23022,22,3470666.11696,9680.91878502,23,2019,12165.308408689189
23022,22,3470666.11696,9680.91878502,23,2020,1275.45
23022,22,3470666.11696,9680.91878502,23,2021,35747
23022,22,3470666.11696,9680.91878502,23,2022,68679.10021614417
23023,23,1886655.88333,6669.1675872,23,2003,0
23023,23,1886655.88333,6669.1675872,23,2004,0
23023,23,1886655.88333,6669.1675872,23,2005,0
23023,23,1886655.88333,6669.1675872,23,2006,0
23023,23,1886655.88333,6669.1675872,23,2007,529
23023,23,1886655.88333,6669.1675872,23,2008,0.541441208285035
23023,23,1886655.88333,6669.1675872,23,2009,0
23023,23,1886655.88333,6669.1675872,23,2010,10833.725457071054
23023,23,1886655.88333,6669.1675872,23,2011,0
23023,23,1886655.88333,6669.1675872,23,2012,3229.2717356615058
23023,23,1886655.88333,6669.1675872,23,2013,1453.0000000002865
23023,23,1886655.88333,6669.1675872,23,2014,82876.3440419686
23023,23,1886655.88333,6669.1675872,23,2015,11496.394935606211
23023,23,1886655.88333,6669.1675872,23,2016,32940.70560100667
23023,23,1886655.88333,6669.1675872,23,2017,12339.54
23023,23,1886655.88333,6669.1675872,23,2018,555.86
23023,23,1886655.88333,6669.1675872,23,2019,4677.25
23023,23,1886655.88333,6669.1675872,23,2020,0
23023,23,1886655.88333,6669.1675872,23,2021,51919.955950381605
23023,23,1886655.88333,6669.1675872,23,2022,0
23024,24,2586121.14456,6994.82913556,23,2003,0
23024,24,2586121.14456,6994.82913556,23,2004,0
23024,24,2586121.14456,6994.82913556,23,2005,67123.12211665571
23024,24,2586121.14456,6994.82913556,23,2006,93367.05538773684
23024,24,2586121.14456,6994.82913556,23,2007,28629.225334080933
23024,24,2586121.14456,6994.82913556,23,2008,42895.03039466592
23024,24,2586121.14456,6994.82913556,23,2009,3186.791410382339
23024,24,2586121.14456,6994.82913556,23,2010,90518.94552056053
23024,24,2586121.14456,6994.82913556,23,2011,26054.99999983849
23024,24,2586121.14456,6994.82913556,23,2012,122340.13006459763
23024,24,2586121.14456,6994.82913556,23,2013,5360.669327153241
23024,24,2586121.14456,6994.82913556,23,2014,11668.404805435055
23024,24,2586121.14456,6994.82913556,23,2015,404.5697189609998
23024,24,2586121.14456,6994.82913556,23,2016,35924.543943200704
23024,24,2586121.14456,6994.82913556,23,2017,12043.331435817941
23024,24,2586121.14456,6994.82913556,23,2018,47336.76
