"ward","type","location","year","est_cost","id","intersection_1","intersection_2"
4,"Sidewalk Menu","E 42ND ST & S ST LAWRENCE AV (600 E) & S CHAMPLAIN AV (634 E)",2011,10283,3205,"600 E 42ND ST","634 E 42ND ST"
4,"Sidewalk Menu","E 36TH ST & S COTTAGE GROVE AV (715 E) & S ELLIS AV (741 E)",2011,20424,3206,"715 E 36TH ST","741 E 36TH ST"
4,"Sidewalk Menu","S CHAMPLAIN AVE & E 47 ST (4700 S) & E 48 ST (4800 S)",2011,22216,3207,"4700 S CHAMPLAIN AVE","4800 S CHAMPLAIN AVE"
4,"Sidewalk Menu","E 48TH ST & S ELLIS AV (1000 E) & S GREENWOOD AV (1100 E)",2011,38540,3208,"1000 E 48TH ST","1100 E 48TH ST"
4,"Sidewalk Menu - Change Order","E 47TH ST & S COTTAGE GROVE AV (800 E) & S DREXEL AV (900 E)",2011,1650,3209,"800 E 47TH ST","900 E 47TH ST"
4,"Street Resurface Menu","S KIMBARK AVE & E 49 ST (4900 S) & E 50 ST (5000 S)",2011,64934,3210,"4900 S KIMBARK AVE","5000 S KIMBARK AVE"
4,"Street Resurface Menu","S GREENWOOD AVE & E 48 ST (4800 S) & E 49 ST (4900 S)",2011,79062,3211,"4800 S GREENWOOD AVE","4900 S GREENWOOD AVE"
4,"Street Resurface Menu","E 37TH ST & S RHODES AV (500 E) & S VINCENNES AV (614 E)",2011,48086,3212,"500 E 37TH ST","614 E 37TH ST"
4,"Street Resurface Menu","S LANGLEY AVE & E 47 ST (4700 S) & E 48 ST (4800 S)",2011,40726,3213,"4700 S LANGLEY AVE","4800 S LANGLEY AVE"
4,"Street Resurface Menu","S RHODES AVE & E 33 PL (3332 S) & E 35 ST (3500 S)",2011,69123,3214,"3332 S RHODES AVE","3500 S RHODES AVE"
4,"Street Resurface Menu","S GREENWOOD AVE & E 49 ST (4900 S) & E 50 ST (5000 S)",2011,49946,3215,"4900 S GREENWOOD AVE","5000 S GREENWOOD AVE"
4,"Street Resurface Menu(1-5)","S ELLIS AVE & E 54 PL (5412 S) & E 54 ST (5322 S)",2011,36867,3216,"5412 S ELLIS AVE","5322 S ELLIS AVE"
4,"Street Resurface Menu(1-5)","E 49TH ST & S GREENWOOD AV (1100 E) & S WOODLAWN AV (1200 E)",2011,50487,3217,"1100 E 49TH ST","1200 E 49TH ST"
4,"Street Resurface Menu(1-5)","E 33RD PL & S RHODES AV (500 E) & S COTTAGE GROVE AV (629 E)",2011,63025,3218,"500 E 33RD PL","629 E 33RD PL"
5,"Pole Painting","S GREENWOOD AVE & E 53 ST (5242 S) & E 54 ST (5322 S)",2011,800,3918,"5242 S GREENWOOD AVE","5322 S GREENWOOD AVE"
5,"Street Lighting","S BENNETT AVE & E 68 ST (6800 S) & E 70 ST (7000 S)",2011,1200,3920,"6800 S BENNETT AVE","7000 S BENNETT AVE"
5,"Street Lighting","S OGLESBY AVE & E 71 ST (7110 S) & E 73 ST (7300 S)",2011,144000,3922,"7110 S OGLESBY AVE","7300 S OGLESBY AVE"
5,"Street Lighting","S BENNETT AVE & E 73 ST (7300 S) & E 74 ST (7400 S)",2011,1400,3923,"7300 S BENNETT AVE","7400 S BENNETT AVE"
5,"Street Lighting","S EUCLID AVE & E 68 ST (6800 S) & E 70 ST (7000 S)",2011,1600,3924,"6800 S EUCLID AVE","7000 S EUCLID AVE"
5,"Street Lighting","S CONSTANCE AVE & E 68 ST (6800 S) & E 70 ST (7000 S)",2011,1600,3927,"6800 S CONSTANCE AVE","7000 S CONSTANCE AVE"
5,"Street Lighting","S GREENWOOD AVE & E 53 ST (5242 S) & E 54 ST (5322 S)",2011,1400,3929,"5242 S GREENWOOD AVE","5322 S GREENWOOD AVE"
5,"Street Lighting","E 70TH ST & S EAST END AV (1726 E) & S STONY ISLAND AV (1600 E)",2011,700,3932,"1726 E 70TH ST","1600 E 70TH ST"
5,"Street Lighting","S CREGIER AVE & E 68 ST (6800 S) & E 70 ST (7000 S)",2011,1200,3934,"6800 S CREGIER AVE","7000 S CREGIER AVE"
5,"Street Lighting","S PAXTON AVE & E 71 ST (7100 S) & E 72 ST (7200 S)",2011,1400,3935,"7100 S PAXTON AVE","7200 S PAXTON AVE"
5,"Curb/Gutter Menu","E 68TH ST & S MERRILL AV (2132 E) & S PAXTON AV (2200 E)",2011,35816,3940,"2132 E 68TH ST","2200 E 68TH ST"
5,"Miscellaneous-CDOT","E 68TH ST & S CORNELL AV (1632 E) & S CREGIER AV (1800 E)",2011,157686,3941,"1632 E 68TH ST","1800 E 68TH ST"
